"url"	"source"	"date"	"text"
"http://www.nytimes.com/1981/08/30/arts/numismatics-the-1943-copper-cent-is-more-than-a-rumor.html"	"The New York Times"	"1981-08-30T00:00:00Z"	NA
"http://www.nytimes.com/1981/08/22/sports/sports-of-the-times-wildlife-group-fights-us-policy.html"	"The New York Times"	"1981-08-22T00:00:00Z"	NA
"http://www.nytimes.com/1981/08/22/nyregion/at-audubon-camp-adults-rediscover-the-wilds.html"	"The New York Times"	"1981-08-22T00:00:00Z"	NA
"http://www.nytimes.com/1981/08/18/science/ornithologists-debate-ways-to-save-the-dusky-sparrow.html"	"The New York Times"	"1981-08-18T00:00:00Z"	NA
"http://www.nytimes.com/1981/08/17/sports/challenge-of-the-bow-and-arrow.html"	"The New York Times"	"1981-08-17T00:00:00Z"	NA
"http://www.nytimes.com/1981/08/16/nyregion/l-managing-wildlife-termed-not-natural-234933.html"	"The New York Times"	"1981-08-16T00:00:00Z"	NA
"http://www.nytimes.com/1981/08/10/opinion/mr-watt-and-his-critics.html"	"The New York Times"	"1981-08-10T00:00:00Z"	NA
"http://www.nytimes.com/1981/08/09/sports/outdoors-illegal-trafficking-in-rare-reptiles.html"	"The New York Times"	"1981-08-09T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/29/us/coast-panel-postpones-action-to-save-condors.html"	"The New York Times"	"1981-07-29T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/27/nyregion/hudson-marsh-gains-state-protection.html"	"The New York Times"	"1981-07-27T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/27/opinion/riding-cape-sand-by-brendan-murphy.html"	"The New York Times"	"1981-07-27T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/26/world/around-the-world-sperm-whale-hunting-limited-to-west-pacific.html"	"Reuters"	"1981-07-26T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/26/nyregion/campers-to-test-the-timelessness-of-area-ecology.html"	"The New York Times"	"1981-07-26T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/20/nyregion/hempstead-bay-colony-faces-end-of-an-era.html"	"The New York Times"	"1981-07-20T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/19/magazine/zoo-to-the-world.html"	"The New York Times"	"1981-07-19T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/17/obituaries/arthur-m-bartley-dies-at-89-a-game-bird-conservationist.html"	"The New York Times"	"1981-07-17T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/16/us/watt-orders-inquiry-on-oil-royalties.html"	"The New York Times"	"1981-07-16T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/15/us/wildlife-unit-asks-watt-s-ouster.html"	"The New York Times"	"1981-07-15T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/14/nyregion/is-bog-turtle-endangered-well-yes-and-no.html"	"The New York Times"	"1981-07-14T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/12/travel/notes-from-uncle-sam-language-lessons-park-guides-and-diplomatic-briefings.html"	"The New York Times"	"1981-07-12T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/12/nyregion/who-knows-why-lake-is-drying-up.html"	"The New York Times"	"1981-07-12T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/12/weekinreview/ideas-trends-in-summary-more-on-watt-and-the-environment.html"	"The New York Times"	"1981-07-12T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/08/us/us-considers-ceding-control-of-crane-refuge-the-washington-star.html"	"The New York Times"	"1981-07-08T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/05/travel/watch-hill-to-point-judith-20-miles-of-summer-fun.html"	"The New York Times"	"1981-07-05T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/05/nyregion/intrusive-geese-ordered-out-club.html"	"The New York Times"	"1981-07-05T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/05/nyregion/pinelands-plans-for-land-imperiled.html"	"The New York Times"	"1981-07-05T00:00:00Z"	NA
"http://www.nytimes.com/1981/07/02/world/2-conservation-groups-urge-an-immediate-end-to-whaling.html"	"Reuters"	"1981-07-02T00:00:00Z"	NA
"http://www.nytimes.com/1981/06/16/us/army-engineers-criticized-in-project-audits.html"	"The New York Times"	"1981-06-16T00:00:00Z"	NA
